iso_code,cooking,electricity,country_name,continent,gdp_per_capita,population,population_annotation
ABW,,100.0,Aruba,America,28862.75,107195.0,0.11
AFG,33.2,97.7,Afghanistan,Asia,611.27,39835428.0,39.84
AGO,50.2,46.89,Angola,Africa,3792.75,33933611.0,33.93
ALB,81.3,100.0,Albania,Europe,6259.6,2811666.0,2.81
AND,100.0,100.0,Andorra,Europe,41930.27,77354.0,0.08
ARE,100.0,100.0,United Arab Emirates,Asia,50348.82,9991083.0,9.99
ARG,99.9,100.0,Argentina,America,12187.3,45808747.0,45.81
ARM,98.1,100.0,Armenia,Asia,4741.43,2968128.0,2.97
ATG,100.0,100.0,Antigua and Barbuda,America,16085.42,98728.0,0.1
AUS,100.0,100.0,Australia,Oceania,67464.39,25739256.0,25.74
AUT,100.0,100.0,Austria,Europe,53370.71,8956279.0,8.96
AZE,96.8,100.0,Azerbaijan,Asia,7164.55,10145212.0,10.15
BDI,0.2,11.74,Burundi,Africa,272.36,12255429.0,12.26
BEL,100.0,100.0,Belgium,Europe,52484.57,11587882.0,11.59
BEN,4.0,41.41,Benin,Africa,1432.3,12451031.0,12.45
BFA,10.6,18.96,Burkina Faso,Africa,885.94,21497097.0,21.5
BGD,25.0,96.2,Bangladesh,Asia,2361.98,166303494.0,166.3
BGR,88.65,99.7,Bulgaria,Europe,13101.48,6899125.0,6.9
BHR,100.0,100.0,Bahrain,Asia,29103.36,1748295.0,1.75
BHS,100.0,100.0,Bahamas,America,32077.31,396914.0,0.4
BIH,45.2,100.0,Bosnia and Herzegovina,Europe,6725.58,3263459.0,3.26
BLR,99.6,100.0,Belarus,Europe,6384.27,9340314.0,9.34
BLZ,82.1,97.11,Belize,America,4519.82,404915.0,0.4
BMU,,100.0,Bermuda,America,,63867.0,0.06
BOL,86.1,97.55,Bolivia,America,3430.76,11832936.0,11.83
BRA,95.9,100.0,Brazil,America,8570.28,213993441.0,213.99
BRB,100.0,100.0,Barbados,America,19110.46,287708.0,0.29
BRN,100.0,100.0,Brunei Darussalam,Asia,79816.31,441532.0,0.44
BTN,80.2,100.0,Bhutan,Asia,3491.27,779900.0,0.78
BWA,64.7,71.99,Botswana,Africa,7519.21,2397240.0,2.4
CAF,0.800000000000001,15.47,Central African Republic,Africa,527.22,4919987.0,4.92
CAN,100.0,100.0,Canada,America,57405.93,38246108.0,38.25
CHE,100.0,100.0,Switzerland,Europe,96390.05,8697723.0,8.7
CHL,100.0,100.0,Chile,America,15941.34,19212362.0,19.21
CHN,79.4,100.0,China,Asia,14096.24,1412360000.0,1412.36
CIV,31.8,69.68,Cote d'Ivoire,Africa,2574.09,27053629.0,27.05
CMR,21.9,64.72,Cameroon,Africa,1637.77,27224262.0,27.22
COD,3.7,19.1,DR Congo,Africa,669.36,92377986.0,92.38
COG,34.9,49.52,Congo Republic,Africa,3242.94,5657017.0,5.66
COL,93.2,100.0,Colombia,America,6806.52,51265841.0,51.27
COM,8.40000000000001,86.74,Comoros,Africa,1371.03,888456.0,0.89
CPV,81.0,94.16,Cabo Verde,Africa,3502.98,561901.0,0.56
CRI,95.7,99.9,Costa Rica,America,12483.08,5139053.0,5.14
CUB,93.8,100.0,Cuba,America,,11317498.0,11.32
CUW,,100.0,Curacao,America,,152369.0,0.15
CYM,,100.0,Cayman Islands,America,,66498.0,0.07
CYP,100.0,100.0,Cyprus,Asia,30663.22,1215588.0,1.22
CZE,100.0,100.0,Czech Republic,Europe,27609.19,10703446.0,10.7
DEU,100.0,100.0,Germany,Europe,51103.98,83129285.0,83.13
DJI,9.65,61.77,Djibouti,Africa,3775.0,1002197.0,1.0
DMA,88.9,100.0,Dominica,America,8575.28,72172.0,0.07
DNK,100.0,100.0,Denmark,Europe,68094.0,5856733.0,5.86
DOM,91.5,100.0,Dominican Republic,America,10259.34,10953714.0,10.95
DZA,99.7,99.8,Algeria,Africa,4294.42,44616626.0,44.62
ECU,94.3,98.85,Ecuador,America,6412.35,17888474.0,17.89
EGY,99.9,100.0,Egypt,Africa,4162.08,104258327.0,104.26
ERI,9.3,52.17,Eritrea,Africa,701.15,3213969.0,3.21
ESP,100.0,100.0,Spain,Europe,30156.69,47326687.0,47.33
EST,100.0,100.0,Estonia,Europe,27970.81,1329254.0,1.33
ETH,7.8,51.09,Ethiopia,Africa,1039.77,117876226.0,117.88
FIN,100.0,100.0,Finland,Europe,53744.88,5541696.0,5.54
FJI,51.4,100.0,Fiji,Oceania,5685.26,902899.0,0.9
FRA,100.0,100.0,France,Europe,44747.26,67499343.0,67.5
FRO,,100.0,Faeroe Islands,Europe,,49053.0,0.05
FSM,13.0,82.93,"Micronesia, Fed. Sts.",Oceania,4066.45,116255.0,0.12
GAB,88.1,91.57,Gabon,Africa,10390.31,2278829.0,2.28
GBR,100.0,100.0,United Kingdom,Europe,49761.13,67326569.0,67.33
GEO,89.1,100.0,Georgia,Asia,5617.96,3708610.0,3.71
GHA,22.2,85.87,Ghana,Africa,2303.29,31732128.0,31.73
GIB,,100.0,Gibraltar,Europe,,33691.0,0.03
GIN,1.9,44.67,Guinea,Africa,1427.8,13497237.0,13.5
GMB,1.7,62.27,Gambia,Africa,843.85,2486937.0,2.49
GNB,1.1,33.34,Guinea-Bissau,Africa,872.98,2015490.0,2.02
GNQ,24.5,66.75,Equatorial Guinea,Africa,10902.14,1449891.0,1.45
GRC,100.0,100.0,Greece,Europe,20939.75,10664568.0,10.66
GRD,89.1,93.59,Grenada,America,10471.94,113015.0,0.11
GRL,,100.0,Greenland,America,,56653.0,0.06
GTM,50.1,97.06,Guatemala,America,4863.91,17109746.0,17.11
GUM,,100.0,Guam,Oceania,,170184.0,0.17
GUY,80.6,92.54,Guyana,America,17107.52,790329.0,0.79
HKG,,100.0,Hong Kong,Asia,49849.84,7413100.0,7.41
HND,48.3,93.21,Honduras,America,2925.45,10062994.0,10.06
HRV,100.0,100.0,Croatia,Europe,17337.82,3899000.0,3.9
HTI,4.5,46.93,Haiti,America,1671.51,11541683.0,11.54
HUN,100.0,100.0,Hungary,Europe,20335.82,9709886.0,9.71
IDN,84.5,96.95,Indonesia,Asia,4690.75,276361788.0,276.36
IMN,,100.0,Isle of Man,Europe,,85410.0,0.09
IND,67.9,99.0,India,Asia,2515.44,1393409033.0,1393.41
IRL,100.0,100.0,Ireland,Europe,101509.49,5028230.0,5.03
IRN,96.1,100.0,Iran,Asia,20261.01,85028760.0,85.03
IRQ,99.0,100.0,Iraq,Asia,7038.24,41179351.0,41.18
ISL,100.0,100.0,Iceland,Europe,74417.38,372295.0,0.37
ISR,100.0,100.0,Israel,Asia,54688.3,9364000.0,9.36
ITA,100.0,100.0,Italy,Europe,34777.09,59066225.0,59.07
JAM,82.7,100.0,Jamaica,America,5730.4,2973462.0,2.97
JOR,99.9,99.9,Jordan,Asia,4635.07,10269022.0,10.27
JPN,100.0,100.0,Japan,Asia,39243.37,125681593.0,125.68
