gain,vulnerability,readiness,population,country,continent,Low income,Africa,debt_distress,rank,pop_annotation,pop_vulnerability,pop_readiness
76.2,0.249118552306528,0.773487199653141,5408320.0,Norway,Europe,,,,1,5.41,0.25,0.77
73.3,0.282248840840109,0.747997949745346,5541696.0,Finland,Europe,,,,2,5.54,0.28,0.75
72.4,0.249922868865113,0.698840170577716,8697723.0,Switzerland,Europe,,,,3,8.7,0.25,0.7
72.2,0.285423504090189,0.729368610207646,10415811.0,Sweden,Europe,,,,4,10.42,0.29,0.73
71.6,0.2796545494909,0.712177572467571,5122600.0,New Zealand,Oceania,,,,5,5.12,0.28,0.71
71.6,0.340257779658449,0.771425450840527,5856733.0,Denmark,Europe,,,,6,5.86,0.34,0.77
71.5,0.266655264071206,0.696212399434498,8956279.0,Austria,Europe,,,,7,8.96,0.27,0.7
71.2,0.380630280387802,0.805411775908781,5453566.0,Singapore,Asia,,,,8,5.45,0.38,0.81
70.6,0.314021092169754,0.726021936814366,372295.0,Iceland,Europe,,,,9,0.37,0.31,0.73
70.6,0.284089902958219,0.69531715472207,83129285.0,Germany,Europe,,,,10,83.13,0.28,0.7
70.2,0.287300607826035,0.691921272134411,67326569.0,United Kingdom,Europe,,,,11,67.33,0.29,0.69
69.9,0.305710919875157,0.702985856676859,25739256.0,Australia,Oceania,,,,12,25.74,0.31,0.7
68.9,0.288584142913786,0.666156201669138,639070.0,Luxembourg,Europe,,,,13,0.64,0.29,0.67
68.9,0.289919399177252,0.667425124196929,67499343.0,France,Europe,,,,14,67.5,0.29,0.67
68.2,0.291767926265721,0.655440675810248,38246108.0,Canada,America,,,,15,38.25,0.29,0.66
68.1,0.36572474576282,0.727939240821405,51744876.0,South Korea,Asia,,,,16,51.74,0.37,0.73
67.9,0.360559386994149,0.718137647542392,125681593.0,Japan,Asia,,,,17,125.68,0.36,0.72
67.7,0.337972449665274,0.691730163621042,17533405.0,Netherlands,Europe,,,,18,17.53,0.34,0.69
67.1,0.321025616113629,0.664004806995075,331893745.0,United States,America,,,,19,331.89,0.32,0.66
